"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","n","id.p","id.m","failures","paid","absences","G1","G2","G3","failures.p","paid.p","absences.p","G1.p","G2.p","G3.p","failures.m","paid.m","absences.m","G1.m","G2.m","G3.m","alc_use","high_use","cid"
"11","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,3,2,1,1,1,2,1057,2057,0,"no",0,14,14,15,0,"no",0,15,14,15,0,"yes",0,14,15,15,1,FALSE,3011
"12","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,"no","yes","yes","no","yes","yes","yes",4,3,3,1,2,4,2,1134,2132,0,"no",3,10,6,6,0,"no",6,11,12,13,0,"no",0,8,0,0,1.5,FALSE,3012
"13","GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,"no","yes","yes","no","yes","yes","no",4,3,2,2,3,4,2,1085,2085,0,"no",2,11,11,11,0,"no",2,13,12,12,0,"no",2,9,10,10,2.5,TRUE,3013
"14","GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,"no","yes","no","yes","yes","yes","no",4,4,2,1,2,5,2,1157,2146,0,"no",0,10,12,12,0,"no",0,12,12,12,0,"yes",0,8,11,11,1.5,FALSE,3014
"15","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,"no","yes","no","no","yes","yes","no",4,3,2,1,1,5,2,1160,2148,0,"no",4,12,12,12,0,"no",6,13,12,13,0,"yes",2,10,11,11,1,FALSE,3015
"16","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",1,2,"no","no","no","no","yes","yes","no",3,2,3,1,2,1,2,1121,2121,0,"no",1,15,14,14,0,"no",0,14,14,14,0,"no",2,16,15,15,1.5,FALSE,3016
"17","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,"no","yes","yes","yes","yes","yes","no",5,2,2,1,1,4,2,1012,2012,0,"no",2,10,12,12,0,"no",0,10,12,13,0,"no",4,10,12,12,1,FALSE,3017
"18","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,"yes","yes","no","yes","yes","yes","no",5,1,2,1,1,3,2,1107,2107,0,"no",6,8,9,9,0,"no",4,10,10,10,0,"yes",8,7,8,8,1,FALSE,3018
"19","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,"no","yes","yes","yes","yes","no","no",3,5,1,1,1,5,2,1036,2036,0,"no",2,10,9,8,0,"no",4,11,11,11,0,"no",0,8,7,6,1,FALSE,3019
"20","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,"no","yes","no","yes","yes","yes","no",3,3,2,1,1,3,2,1159,2147,2,"no",1,8,9,6,1,"no",2,11,11,11,3,"no",0,6,7,0,1,FALSE,3020
"21","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,"yes","yes","no","yes","yes","yes","no",4,3,5,1,1,2,2,1104,2104,0,"no",21,9,8,8,0,"no",16,11,10,10,0,"yes",26,7,6,6,1,FALSE,3021
"22","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,"no","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,1004,2004,0,"no",1,14,14,14,0,"no",0,14,14,14,0,"yes",2,15,14,15,1,FALSE,3022
"23","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,"no","yes","yes","yes","yes","yes","no",5,3,3,1,3,1,2,1088,2088,0,"no",4,14,14,14,0,"no",4,15,15,15,0,"no",4,13,14,14,2,FALSE,3023
"24","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,"no","no","yes","yes","yes","yes","no",4,5,5,1,3,1,2,1092,2092,0,"no",5,15,15,16,0,"no",6,14,13,13,0,"yes",4,16,17,18,2,FALSE,3024
"25","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,"no","yes","yes","yes","yes","yes","yes",4,3,3,1,1,5,2,1140,2136,0,"no",2,12,7,8,0,"no",4,13,14,15,0,"no",0,11,0,0,1,FALSE,3025
"26","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,"yes","yes","no","yes","yes","yes","no",3,3,4,2,3,5,2,1054,2054,0,"no",0,10,11,12,0,"no",0,13,12,12,0,"yes",0,8,10,11,2.5,TRUE,3026
"27","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,"no","no","no","yes","yes","yes","yes",4,4,4,2,3,5,2,1086,2086,1,"no",5,10,10,10,0,"no",4,12,11,12,2,"yes",6,7,9,8,2.5,TRUE,3027
"28","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,"yes","yes","yes","no","yes","yes","no",4,4,4,1,1,3,2,1050,2050,0,"no",2,10,10,10,0,"no",2,13,12,12,1,"no",2,7,7,7,1,FALSE,3028
"29","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",3,3,3,1,2,2,2,1011,2011,0,"no",1,12,11,12,0,"no",2,14,14,14,0,"yes",0,10,8,9,1.5,FALSE,3029
"30","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,"no","yes","yes","yes","yes","yes","no",4,2,2,1,1,5,2,1154,2143,0,"no",2,11,12,12,0,"no",2,13,13,13,0,"yes",2,9,11,11,1,FALSE,3030
"31","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,"no","no","yes","yes","yes","yes","no",4,3,2,1,1,5,2,1148,2140,0,"no",3,14,15,14,0,"no",6,13,14,14,0,"no",0,16,16,15,1,FALSE,3031
"32","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,"no","no","no","yes","yes","yes","no",5,3,4,4,4,1,2,1055,2055,0,"no",3,12,12,13,0,"no",0,13,12,13,0,"yes",6,10,13,13,4,TRUE,3032
"33","GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,"yes","no","yes","yes","yes","yes","yes",5,3,2,1,1,1,2,1127,2127,0,"no",0,8,10,11,0,"no",0,10,11,11,0,"no",0,7,10,11,1,FALSE,3033
"34","GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,"yes","yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,2,1046,2046,0,"yes",6,9,10,8,0,"yes",4,10,11,11,0,"yes",8,8,8,6,1,FALSE,3034
"35","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,"yes","no","no","yes","yes","yes","no",4,3,2,2,3,3,2,1003,2003,2,"no",8,10,10,11,0,"no",6,12,13,12,3,"yes",10,7,8,10,2.5,TRUE,3035
"36","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,4,4,1,1,5,2,1083,2083,0,"no",7,10,8,8,0,"no",4,12,11,11,0,"yes",10,7,6,6,1,FALSE,3036
"37","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,3,1,1,5,2,1052,2052,0,"no",1,14,14,14,0,"no",0,16,14,16,0,"yes",2,11,13,13,1,FALSE,3037
"38","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,"yes","no","yes","yes","yes","yes","yes",4,4,4,2,4,2,2,1065,2065,0,"no",0,12,11,11,0,"no",0,13,12,12,0,"no",0,10,10,10,3,TRUE,3038
"39","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,"no","yes","yes","no","yes","yes","no",5,3,5,1,1,5,2,1219,2205,0,"no",6,12,12,12,0,"no",6,13,13,13,0,"yes",6,10,10,11,1,FALSE,3039
"40","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,"yes","yes","yes","yes","yes","yes","no",4,1,2,1,1,2,2,1112,2112,0,"no",2,9,10,10,0,"no",4,11,11,11,1,"no",0,7,10,10,1,FALSE,3040
"41","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,"no","yes","yes","yes","yes","no","no",2,4,4,2,3,4,2,1061,2061,0,"no",3,14,14,14,0,"no",0,17,16,16,0,"no",6,10,11,11,2.5,TRUE,3041
"42","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,2,1056,2056,0,"no",5,10,11,11,0,"no",2,12,13,12,0,"yes",8,8,9,10,1,FALSE,3042
"43","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,"yes","yes","no","yes","yes","yes","no",3,3,4,1,1,4,2,1227,2213,0,"no",0,12,13,14,0,"no",0,13,13,13,0,"yes",0,12,13,14,1,FALSE,3043
"44","GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",2,3,3,2,2,4,2,1221,2207,2,"no",4,9,9,10,0,"no",2,11,11,12,3,"yes",5,7,7,7,2,FALSE,3044
"45","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,"no","yes","yes","no","yes","yes","yes",4,3,2,1,1,5,2,1146,2138,1,"no",2,6,4,5,0,"no",4,9,9,10,2,"no",0,4,0,0,1,FALSE,3045
"46","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,"no","no","no","yes","yes","yes","no",3,2,1,1,4,5,2,1136,2134,0,"no",14,14,12,12,0,"no",12,15,13,14,0,"no",16,12,11,11,2.5,TRUE,3046
"47","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,"no","yes","no","yes","yes","no","no",4,3,2,1,4,5,2,1223,2209,0,"no",4,10,11,12,0,"no",2,12,13,13,0,"yes",6,9,9,10,2.5,TRUE,3047
"48","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,"yes","yes","yes","no","yes","yes","yes",5,5,5,5,5,5,2,1062,2062,0,"no",3,10,9,14,0,"no",0,10,10,16,0,"no",6,10,8,11,5,TRUE,3048
"49","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,"no","no","yes","no","yes","yes","yes",4,3,5,1,1,3,2,1188,2174,2,"no",0,11,10,6,0,"no",0,14,13,13,3,"no",0,8,7,0,1,FALSE,3049
"50","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,"no","yes","no","yes","yes","no","yes",4,3,5,1,1,5,2,1098,2098,0,"no",1,10,10,11,0,"no",0,13,12,12,0,"yes",2,8,9,10,1,FALSE,3050
"51","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,"no","no","no","yes","yes","yes","yes",4,5,2,1,1,5,2,1252,2238,0,"no",12,11,11,11,0,"no",4,9,10,10,0,"no",20,13,12,12,1,FALSE,3051
"52","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,"yes","no","yes","yes","yes","yes","no",3,1,2,1,1,5,2,1113,2113,1,"no",9,9,12,12,1,"no",12,8,10,10,1,"no",6,10,13,13,1,FALSE,3052
"53","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","yes",5,4,4,1,1,5,2,1125,2125,0,"no",0,10,9,10,0,"no",0,12,11,11,0,"yes",0,8,7,8,1,FALSE,3053
"54","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,"no","yes","no","no","yes","yes","no",5,1,5,1,1,4,2,1183,2169,0,"no",0,9,10,6,0,"no",0,12,12,13,0,"yes",0,6,7,0,1,FALSE,3054
"55","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,"no","no","no","yes","yes","yes","yes",5,2,3,1,3,3,2,1078,2078,0,"no",0,12,12,12,0,"no",1,13,13,13,0,"yes",0,11,11,11,2,FALSE,3055
"56","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,"no","no","yes","no","yes","yes","no",3,4,4,1,4,5,2,1191,2177,0,"no",1,13,12,12,0,"no",0,13,12,14,0,"yes",2,13,13,11,2.5,TRUE,3056
"57","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,"no","yes","no","no","yes","yes","no",1,2,2,1,3,5,2,1026,2026,1,"no",10,8,10,10,0,"no",6,10,11,12,2,"yes",14,6,9,8,2,FALSE,3057
"58","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,"yes","yes","yes","yes","yes","no","no",4,4,3,1,3,4,2,1216,2202,0,"no",5,10,11,11,0,"no",4,11,12,12,0,"yes",6,8,10,10,2,FALSE,3058
"59","GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,"no","no","no","yes","yes","yes","no",4,3,3,1,1,2,2,1205,2191,0,"no",8,12,12,13,0,"no",6,12,12,13,0,"no",10,11,12,13,1,FALSE,3059
"60","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,"yes","no","no","yes","yes","yes","no",2,3,1,1,1,3,2,1237,2223,0,"no",1,14,14,16,0,"no",0,13,13,14,0,"no",2,16,16,17,1,FALSE,3060
"61","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,"yes","yes","no","yes","yes","yes","no",4,3,3,1,2,5,2,1068,2068,0,"no",2,8,8,8,0,"no",0,10,9,10,0,"yes",4,7,7,6,1.5,FALSE,3061
"62","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",1,2,2,1,2,1,2,1199,2185,0,"no",11,13,14,14,0,"no",8,14,15,16,0,"yes",14,12,13,12,1.5,FALSE,3062
"63","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,"no","yes","no","yes","yes","no","no",4,3,2,1,2,5,2,1005,2005,0,"no",2,8,12,12,0,"no",0,11,13,13,0,"yes",4,6,10,10,1.5,FALSE,3063
"64","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,"no","yes","no","yes","yes","yes","yes",4,3,3,1,3,4,2,1091,2091,0,"no",1,8,9,10,0,"no",2,9,11,11,0,"yes",0,7,7,8,2,FALSE,3064
"65","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,"yes","yes","yes","yes","yes","no","no",5,3,2,1,1,4,2,1018,2018,0,"no",3,10,12,12,0,"no",2,13,14,14,0,"no",4,8,10,10,1,FALSE,3065
"66","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,"yes","yes","yes","yes","yes","yes","no",4,3,3,2,4,5,2,1075,2075,0,"no",29,11,12,11,0,"no",4,11,11,11,0,"yes",54,11,12,11,3,TRUE,3066
"67","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",2,4,3,1,2,3,2,1080,2080,0,"no",13,8,8,8,0,"no",14,12,11,11,0,"no",12,5,5,5,1.5,FALSE,3067
"68","GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,"no","no","no","yes","yes","yes","yes",4,2,3,1,1,3,2,1182,2168,0,"no",0,16,16,17,0,"no",0,17,17,18,0,"yes",0,14,15,16,1,FALSE,3068
"69","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",4,2,3,1,1,5,2,1060,2060,0,"yes",2,16,16,16,0,"yes",2,16,15,16,0,"no",2,15,16,16,1,FALSE,3069
"70","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,"no","yes","yes","yes","yes","yes","no",5,3,3,1,1,1,2,1094,2094,0,"no",1,12,12,12,0,"no",2,13,14,14,0,"yes",0,11,10,10,1,FALSE,3070
"71","GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,3,5,1,5,2,2,1215,2201,0,"no",2,15,15,16,0,"no",2,14,14,15,0,"no",2,16,16,16,3,TRUE,3071
"72","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,"yes","yes","no","yes","yes","yes","no",5,3,5,1,1,3,2,1100,2100,0,"no",1,10,11,10,0,"no",2,12,13,13,0,"yes",0,7,9,8,1,FALSE,3072
"73","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,"yes","yes","yes","yes","yes","yes","no",3,4,4,2,4,4,2,1064,2064,0,"no",1,12,11,11,0,"no",0,14,13,13,0,"yes",2,10,9,9,3,TRUE,3073
"74","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",1,3,2,1,1,1,2,1222,2208,0,"no",7,12,14,14,0,"no",4,14,15,15,0,"yes",10,11,12,13,1,FALSE,3074
"75","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,"no","yes","no","yes","yes","yes","yes",4,4,2,1,1,3,2,1184,2170,0,"no",0,15,15,16,0,"no",0,16,16,17,0,"yes",0,14,14,14,1,FALSE,3075
"76","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,"no","yes","no","yes","yes","yes","no",4,4,4,1,2,2,2,1016,2016,0,"no",5,16,16,16,0,"no",6,17,17,17,0,"no",4,14,14,14,1.5,FALSE,3076
"77","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,"no","no","yes","no","yes","yes","no",5,3,4,1,2,1,2,1099,2099,0,"no",5,12,14,14,0,"no",4,12,13,13,0,"no",6,11,14,14,1.5,FALSE,3077
"78","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,"no","yes","yes","yes","yes","yes","no",3,2,3,1,2,2,2,1017,2017,0,"no",8,13,14,14,0,"no",10,13,13,14,0,"yes",6,13,14,14,1.5,FALSE,3078
"79","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,"no","yes","yes","no","yes","yes","no",5,3,2,1,1,5,2,1239,2225,0,"no",2,14,14,15,0,"no",4,15,16,16,0,"no",0,13,13,14,1,FALSE,3079
"80","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,"no","yes","no","yes","yes","yes","no",2,3,5,1,4,3,2,1047,2047,0,"no",9,12,12,12,0,"no",6,13,12,13,0,"no",12,11,12,11,2.5,TRUE,3080
"81","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,"no","no","no","yes","yes","yes","no",3,4,4,3,3,1,2,1155,2144,0,"no",3,12,12,12,0,"no",4,10,11,11,0,"no",2,14,14,13,3,TRUE,3081
"82","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,"yes","no","yes","yes","yes","yes","no",4,4,3,1,1,1,2,1063,2063,0,"no",2,10,12,10,0,"no",0,13,13,10,0,"no",4,8,10,9,1,FALSE,3082
"83","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,"no","yes","no","yes","yes","no","no",4,3,4,1,2,2,2,1087,2087,0,"no",5,10,9,8,0,"no",6,13,11,11,0,"no",4,8,7,6,1.5,FALSE,3083
"84","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",2,2,"yes","no","yes","yes","yes","yes","no",4,3,3,2,2,5,2,1045,2045,1,"no",14,10,10,10,1,"no",14,10,11,11,1,"no",14,10,10,9,2,FALSE,3084
"85","GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",2,2,"no","yes","yes","no","yes","yes","yes",3,3,3,1,2,3,2,1041,2041,0,"no",20,9,10,10,0,"no",16,11,11,10,1,"no",25,7,10,11,1.5,FALSE,3085
"86","GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,"no","yes","no","yes","yes","yes","no",4,3,3,2,3,4,2,1051,2051,0,"no",1,13,13,13,0,"no",0,14,13,13,0,"yes",2,12,13,13,2.5,TRUE,3086
"87","GP","F",16,"U","LE3","T",2,4,"other","health","course","father",2,2,"no","yes","yes","yes","yes","yes","yes",4,2,2,1,2,5,2,1123,2123,0,"no",2,14,12,13,0,"no",2,14,12,13,0,"yes",2,13,13,13,1.5,FALSE,3087
"88","GP","F",16,"U","LE3","T",3,1,"other","other","home","father",1,2,"yes","yes","no","yes","yes","no","no",3,3,3,2,3,2,2,1093,2093,0,"no",2,10,10,9,0,"no",0,12,13,12,0,"no",4,7,6,6,2.5,TRUE,3088
"89","GP","F",16,"U","LE3","T",3,3,"other","other","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,4,5,1,1,4,2,1189,2175,0,"no",2,12,12,12,0,"no",0,14,14,15,0,"yes",4,10,11,9,1,FALSE,3089
"90","GP","F",16,"U","LE3","T",4,3,"teacher","services","course","mother",3,2,"no","yes","yes","yes","yes","yes","no",5,4,3,1,2,1,2,1066,2066,0,"no",2,16,15,16,0,"no",2,16,15,16,0,"no",2,16,15,15,1.5,FALSE,3090
"91","GP","F",16,"U","LE3","T",4,4,"health","health","other","mother",1,3,"no","yes","yes","yes","yes","yes","yes",5,4,5,1,1,4,2,1110,2110,0,"no",3,14,15,15,0,"no",2,15,15,14,0,"yes",4,14,15,16,1,FALSE,3091
"92","GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,5,2,1,2,3,2,1214,2200,0,"no",0,10,10,10,0,"no",0,11,10,11,0,"yes",0,9,9,10,1.5,FALSE,3092
"93","GP","F",17,"R","GT3","A",3,2,"other","other","home","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,3,2,3,2,2,1395,2340,0,"no",2,12,12,13,0,"no",0,14,14,16,0,"yes",4,9,10,10,2.5,TRUE,3093
"94","GP","F",17,"R","GT3","T",2,1,"at_home","services","course","mother",3,2,"no","no","yes","yes","yes","no","no",2,1,1,1,1,3,2,1262,2239,0,"no",2,13,12,12,0,"no",2,13,13,13,0,"no",2,13,11,11,1,FALSE,3094
"95","GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,2,5,1,2,5,2,1235,2221,0,"no",1,8,8,8,0,"no",0,11,10,11,0,"no",2,6,6,6,1.5,FALSE,3095
"96","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,"no","yes","no","yes","yes","yes","no",5,3,2,1,2,3,2,1218,2204,0,"no",20,10,10,10,0,"no",21,13,13,13,0,"no",18,7,6,6,1.5,FALSE,3096
"97","GP","F",17,"R","GT3","T",2,4,"at_home","other","course","father",1,3,"no","yes","no","yes","yes","yes","yes",4,4,3,1,1,5,2,1387,2332,0,"no",4,14,14,14,0,"no",0,15,15,15,0,"no",7,12,14,14,1,FALSE,3097
"98","GP","F",17,"R","GT3","T",3,4,"at_home","services","course","father",1,3,"no","yes","yes","no","yes","yes","no",4,3,4,2,5,5,2,1360,2319,0,"no",1,13,13,14,0,"no",2,15,15,17,0,"yes",0,11,11,10,3.5,TRUE,3098
"99","GP","F",17,"R","GT3","T",4,3,"teacher","other","reputation","mother",2,3,"no","yes","yes","yes","yes","yes","yes",4,4,2,1,1,4,2,1224,2210,0,"no",3,9,10,10,0,"no",0,11,12,12,0,"yes",6,7,7,7,1,FALSE,3099
"100","GP","F",17,"R","LE3","T",2,2,"services","services","course","mother",1,3,"no","yes","yes","yes","yes","yes","no",3,3,2,2,2,3,2,1374,2323,0,"no",2,11,11,10,0,"no",0,11,11,10,0,"yes",3,11,11,11,2,FALSE,3100
"101","GP","F",17,"R","LE3","T",3,1,"services","other","reputation","mother",2,4,"no","yes","no","yes","yes","no","no",3,1,2,1,1,3,2,1339,2294,0,"no",3,18,18,18,0,"no",0,18,19,19,0,"yes",6,18,18,18,1,FALSE,3101
"102","GP","F",17,"R","LE3","T",4,4,"services","other","other","mother",1,1,"no","yes","no","yes","yes","no","no",5,2,1,1,2,3,2,1229,2215,0,"no",9,10,10,10,0,"no",6,12,11,11,0,"yes",12,8,10,10,1.5,FALSE,3102
"103","GP","F",17,"U","GT3","A",2,1,"other","other","course","mother",2,3,"no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,2,1244,2230,0,"no",5,14,12,14,0,"no",0,15,15,16,0,"no",10,12,10,12,1.5,FALSE,3103
"104","GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","father",1,2,"no","yes","no","yes","yes","yes","yes",3,3,1,1,2,4,2,1398,2344,0,"no",9,10,10,7,0,"no",18,10,12,14,1,"no",0,9,8,0,1.5,FALSE,3104
"105","GP","F",17,"U","GT3","A",3,3,"health","other","reputation","mother",1,2,"no","yes","no","no","yes","yes","yes",3,3,3,1,3,3,2,1203,2189,0,"no",8,10,10,12,0,"no",10,12,13,14,0,"no",6,8,7,9,2,FALSE,3105
"106","GP","F",17,"U","GT3","A",4,3,"services","services","course","mother",1,2,"no","yes","no","yes","yes","yes","yes",5,2,2,1,2,5,2,1366,2321,0,"no",18,14,14,15,0,"no",14,15,14,17,0,"yes",23,13,13,13,1.5,FALSE,3106
